era,Title,Album,swear_total,total_words,swears_per_1000
TDOSS,Habits,The Death of Slim Shady (Coup De Grâce),21,864,24.30555556
ESH,Superman,The Eminem Show,20,824,24.27184466
MMLP,What's The Difference,2001,7,292,23.97260274
MTBMB,Walkthrough!,I Died For This!?,9,376,23.93617021
MMLP,I Remember (Dedication to Whitey Ford),Shit On You,18,754,23.87267905
MTBMB,Marsh,Music to Be Murdered By: Side B,17,717,23.70990237
KAM,Nice Guy,Kamikaze,5,211,23.69668246
MMLP2,Evil Twin,The Marshall Mathers LP 2,26,1099,23.65787079
MMLP,(Rap) Superstar,The Essential Cypress Hill,2,85,23.52941176
MMLP,If I Get Locked Up,The Tunnel,8,343,23.32361516
MMLP2,Calm Down,Extinction Level Event 2: The Wrath of God (The Deluxe Edition),15,647,23.18392581
SSLP,Stir Crazy,Tell ’Em Why U Madd,4,173,23.12138728
ENC,Welcome 2 Detroit,Featuring,8,349,22.9226361
ENC,The Re-Up,Eminem Presents the Re-Up,7,312,22.43589744
TDOSS,Antichrist,The Death of Slim Shady (Coup De Grâce),19,854,22.24824356
MMLP,Criminal,The Marshall Mathers LP,26,1187,21.90395956
SSLP,Hustlers & Hardcore,Behind the Doors of the 13th Floor,3,137,21.89781022
SSLP,Get You Mad,This or That,20,918,21.78649237
REC,Drop the World,I Am Music,6,277,21.66064982
ENC,Pistol Poppin’,The County Hound EP,5,232,21.55172414
ESH,Rabbit Run,8 Mile,14,654,21.40672783
ESH,Don’t Push Me,Get Rich or Die Tryin’,5,238,21.00840336
MTBMB,Farewell,Music to Be Murdered By: Side B,16,769,20.80624187
REC,No Love,Recovery,9,437,20.59496568
MMLP,These Drugs,Devil’s Night,11,536,20.52238806
TDOSS,Bad One,The Death of Slim Shady (Coup De Grâce),14,685,20.4379562
MMLP2,Writer’s Block,Success is Certain,4,196,20.40816327
Infinite,3hree6ix5ive (Street),Shyhalüde / 3hree6ix5ive,6,294,20.40816327
REV,In Your Head,Revival,8,392,20.40816327
MMLP,Stan,The Marshall Mathers LP,22,1078,20.40816327
MMLP2,Detroit Vs. Everybody,SHADYXV,10,493,20.28397566
MMLP2,So Far...,The Marshall Mathers LP 2,19,941,20.19128587
TDOSS,Realest,DU4LI7Y: REDUX,10,497,20.12072435
TDOSS,Renaissance,The Death of Slim Shady (Coup De Grâce),7,351,19.94301994
ENC,I’m Gone,The Streetsweeper Vol. 2: The Pain From the Game,7,354,19.7740113
MMLP2,Here Comes the Weekend,The Albums So Far!!! Boxset,3,154,19.48051948
ESH,White America,The Eminem Show,18,932,19.31330472
REV,Nowhere Fast,Revival,8,415,19.27710843
ENC,There They Go,Bar Shots,3,156,19.23076923
MTBMB,Killer,Music to Be Murdered By: Side B,12,625,19.2
REL,Insane,Relapse: Refill,13,679,19.14580265
REL,Peep Show,Curtis,3,157,19.10828025
MMLP2,Love Game,The Marshall Mathers LP 2,10,524,19.08396947
MTBMB,"Jimmy, Brian And Mike",The Eminem Show (Expanded Edition),13,684,19.00584795
TDOSS,Like My Shit,The Death of Slim Shady (Coup De Grâce),13,686,18.95043732
KAM,The Ringer,Kamikaze,27,1429,18.8943317
KAM,Not Alike,Kamikaze,16,852,18.77934272
MTBMB,Leaving Heaven,Music to Be Murdered By: Side B,14,755,18.54304636
Infinite,Nuttin' To Do,Game Tight,4,217,18.43317972
ENC,Ricky Ticky Toc,Encore (Deluxe Version),10,546,18.31501832
MMLP2,Baby,The Marshall Mathers LP 2,18,984,18.29268293
MTBMB,The King and I,Curtain Call 2,4,219,18.26484018
MTBMB,Tone Deaf,Music to Be Murdered By: Side B,18,987,18.23708207
KAM,Killshot,Single,18,992,18.14516129
MMLP2,Legacy,The Marshall Mathers LP 2,12,663,18.09954751
REC,That’s All She Wrote,No Mercy (Deluxe Version),8,448,17.85714286
